起点省会,终点省会,是否双向,邮件量
北京,北京,0,0.0
北京,天津,1,82.0
北京,石家庄,1,114.0
北京,太原,1,206.0
北京,呼和浩特,1,18.0
北京,沈阳,1,170.0
北京,长春,1,73.0
北京,哈尔滨,1,126.0
北京,上海,1,125.0
北京,南京,1,52.0
北京,杭州,1,191.0
北京,合肥,1,204.0
北京,福州,1,81.0
北京,南昌,1,228.0
北京,济南,1,439.0
北京,郑州,1,271.0
北京,武汉,1,237.0
北京,长沙,1,202.0
北京,广州,1,699.0
北京,南宁,1,123.0
北京,海口,0,0.0
北京,重庆,1,82.0
北京,成都,1,116.0
北京,贵阳,1,47.0
北京,昆明,1,40.0
北京,拉萨,0,1.0
北京,西安,1,118.0
北京,兰州,1,22.0
北京,西宁,0,0.0
北京,银川,1,5.0
北京,乌鲁木齐,1,7.0
天津,北京,1,58.0
天津,天津,0,0.0
天津,石家庄,1,163.0
天津,太原,1,168.0
天津,呼和浩特,1,129.0
天津,沈阳,1,129.0
天津,长春,1,115.0
天津,哈尔滨,1,209.0
天津,上海,1,78.0
天津,南京,0,5.0
天津,杭州,1,42.0
天津,合肥,1,135.0
天津,福州,1,44.0
天津,南昌,1,152.0
天津,济南,1,173.0
天津,郑州,1,186.0
天津,武汉,1,160.0
天津,长沙,1,168.0
天津,广州,1,235.0
天津,南宁,1,136.0
天津,海口,0,1.0
天津,重庆,1,51.0
天津,成都,1,60.0
天津,贵阳,0,12.0
天津,昆明,0,19.0
天津,拉萨,0,0.0
天津,西安,1,103.0
天津,兰州,0,0.0
天津,西宁,0,0.0
天津,银川,0,0.0
天津,乌鲁木齐,0,0.0
石家庄,北京,1,109.0
石家庄,天津,1,102.0
石家庄,石家庄,0,0.0
石家庄,太原,1,295.0
石家庄,呼和浩特,0,4.0
石家庄,沈阳,1,233.0
石家庄,长春,0,191.0
石家庄,哈尔滨,0,1.0
石家庄,上海,1,85.0
石家庄,南京,0,0.0
石家庄,杭州,1,90.0
石家庄,合肥,0,243.0
石家庄,福州,0,0.0
石家庄,南昌,1,232.0
石家庄,济南,1,282.0
石家庄,郑州,1,298.0
石家庄,武汉,1,223.0
石家庄,长沙,1,225.0
石家庄,广州,1,878.0
石家庄,南宁,0,143.0
石家庄,海口,0,0.0
石家庄,重庆,1,78.0
石家庄,成都,1,80.0
石家庄,贵阳,0,0.0
石家庄,昆明,0,14.0
石家庄,拉萨,0,0.0
石家庄,西安,1,153.0
石家庄,兰州,0,0.0
石家庄,西宁,0,0.0
石家庄,银川,0,0.0
石家庄,乌鲁木齐,0,0.0
太原,北京,1,21.0
太原,天津,1,56.0
太原,石家庄,1,156.0
太原,太原,0,0.0
太原,呼和浩特,1,3.0
太原,沈阳,1,38.0
太原,长春,1,54.0
太原,哈尔滨,0,0.0
太原,上海,1,15.0
太原,南京,1,2.0
太原,杭州,1,62.0
太原,合肥,1,40.0
太原,福州,0,0.0
太原,南昌,1,23.0
太原,济南,1,153.0
太原,郑州,1,74.0
太原,武汉,1,42.0
太原,长沙,1,16.0
太原,广州,1,159.0
太原,南宁,1,29.0
太原,海口,0,0.0
太原,重庆,1,28.0
太原,成都,1,15.0
太原,贵阳,0,18.0
太原,昆明,1,6.0
太原,拉萨,0,0.0
太原,西安,1,39.0
太原,兰州,0,1.0
太原,西宁,0,0.0
太原,银川,0,0.0
太原,乌鲁木齐,0,0.0
呼和浩特,北京,1,1.0
呼和浩特,天津,1,9.0
呼和浩特,石家庄,0,0.0
呼和浩特,太原,1,6.0
呼和浩特,呼和浩特,0,0.0
呼和浩特,沈阳,1,2.0
呼和浩特,长春,0,0.0
呼和浩特,哈尔滨,0,3.0
呼和浩特,上海,0,0.0
呼和浩特,南京,0,0.0
呼和浩特,杭州,0,0.0
呼和浩特,合肥,0,0.0
呼和浩特,福州,0,0.0
呼和浩特,南昌,0,0.0
呼和浩特,济南,0,0.0
呼和浩特,郑州,1,6.0
呼和浩特,武汉,0,0.0
呼和浩特,长沙,1,1.0
呼和浩特,广州,1,4.0
呼和浩特,南宁,0,0.0
呼和浩特,海口,0,0.0
呼和浩特,重庆,0,0.0
呼和浩特,成都,0,0.0
呼和浩特,贵阳,0,0.0
呼和浩特,昆明,0,0.0
呼和浩特,拉萨,0,0.0
呼和浩特,西安,0,0.0
呼和浩特,兰州,0,0.0
呼和浩特,西宁,0,0.0
呼和浩特,银川,0,0.0
呼和浩特,乌鲁木齐,0,0.0
沈阳,北京,1,34.0
沈阳,天津,1,41.0
沈阳,石家庄,1,67.0
沈阳,太原,1,107.0
沈阳,呼和浩特,1,1.0
沈阳,沈阳,0,0.0
沈阳,长春,1,1656.0
沈阳,哈尔滨,1,1992.0
沈阳,上海,1,21.0
沈阳,南京,0,0.0
沈阳,杭州,1,45.0
沈阳,合肥,1,13.0
沈阳,福州,0,0.0
沈阳,南昌,1,51.0
沈阳,济南,1,90.0
沈阳,郑州,1,38.0
沈阳,武汉,1,66.0
沈阳,长沙,1,19.0
沈阳,广州,1,41.0
沈阳,南宁,1,10.0
沈阳,海口,0,0.0
沈阳,重庆,1,15.0
沈阳,成都,1,23.0
沈阳,贵阳,0,4.0
沈阳,昆明,1,26.0
沈阳,拉萨,0,0.0
沈阳,西安,1,12.0
沈阳,兰州,0,0.0
沈阳,西宁,0,0.0
沈阳,银川,0,0.0
沈阳,乌鲁木齐,0,0.0
长春,北京,1,6.0
长春,天津,1,11.0
长春,石家庄,0,0.0
长春,太原,1,13.0
长春,呼和浩特,0,0.0
长春,沈阳,1,17.0
长春,长春,0,0.0
长春,哈尔滨,1,890.0
长春,上海,1,9.0
长春,南京,0,0.0
长春,杭州,1,4.0
长春,合肥,1,2.0
长春,福州,0,0.0
长春,南昌,1,9.0
长春,济南,1,10.0
长春,郑州,1,6.0
长春,武汉,0,0.0
长春,长沙,1,21.0
长春,广州,1,23.0
长春,南宁,0,0.0
长春,海口,0,0.0
长春,重庆,0,0.0
长春,成都,1,5.0
长春,贵阳,0,0.0
长春,昆明,0,0.0
长春,拉萨,0,0.0
长春,西安,0,0.0
长春,兰州,0,0.0
长春,西宁,0,0.0
长春,银川,0,0.0
长春,乌鲁木齐,0,0.0
哈尔滨,北京,1,27.0
哈尔滨,天津,1,29.0
哈尔滨,石家庄,0,0.0
哈尔滨,太原,0,0.0
哈尔滨,呼和浩特,0,0.0
哈尔滨,沈阳,1,39.0
哈尔滨,长春,1,71.0
哈尔滨,哈尔滨,0,0.0
哈尔滨,上海,0,0.0
哈尔滨,南京,0,0.0
哈尔滨,杭州,1,41.0
哈尔滨,合肥,0,0.0
哈尔滨,福州,0,0.0
哈尔滨,南昌,0,0.0
哈尔滨,济南,1,20.0
哈尔滨,郑州,1,10.0
哈尔滨,武汉,0,0.0
哈尔滨,长沙,0,0.0
哈尔滨,广州,1,72.0
哈尔滨,南宁,0,0.0
哈尔滨,海口,0,0.0
哈尔滨,重庆,0,0.0
哈尔滨,成都,1,1.0
哈尔滨,贵阳,0,0.0
哈尔滨,昆明,0,0.0
哈尔滨,拉萨,0,0.0
哈尔滨,西安,0,0.0
哈尔滨,兰州,0,0.0
哈尔滨,西宁,0,0.0
哈尔滨,银川,0,0.0
哈尔滨,乌鲁木齐,0,0.0
上海,北京,1,347.0
上海,天津,1,410.0
上海,石家庄,1,214.0
上海,太原,1,969.0
上海,呼和浩特,0,7.0
上海,沈阳,1,855.0
上海,长春,1,248.0
上海,哈尔滨,0,290.0
上海,上海,0,0.0
上海,南京,1,206.0
上海,杭州,1,431.0
上海,合肥,1,433.0
上海,福州,1,259.0
上海,南昌,1,767.0
上海,济南,1,681.0
上海,郑州,1,1042.0
上海,武汉,1,841.0
上海,长沙,1,718.0
上海,广州,1,2407.0
上海,南宁,1,318.0
上海,海口,0,51.0
上海,重庆,1,250.0
上海,成都,1,373.0
上海,贵阳,1,114.0
上海,昆明,1,172.0
上海,拉萨,0,0.0
上海,西安,1,323.0
上海,兰州,0,71.0
上海,西宁,0,43.0
上海,银川,0,83.0
上海,乌鲁木齐,1,12.0
南京,北京,1,34.0
南京,天津,0,0.0
南京,石家庄,0,0.0
南京,太原,1,150.0
南京,呼和浩特,0,0.0
南京,沈阳,0,0.0
南京,长春,0,0.0
南京,哈尔滨,0,0.0
南京,上海,1,44.0
南京,南京,0,0.0
南京,杭州,1,56.0
南京,合肥,1,129.0
南京,福州,0,0.0
南京,南昌,1,211.0
南京,济南,1,15.0
南京,郑州,1,308.0
南京,武汉,1,279.0
南京,长沙,1,545.0
南京,广州,1,331.0
南京,南宁,1,177.0
南京,海口,0,0.0
南京,重庆,1,134.0
南京,成都,1,130.0
南京,贵阳,0,192.0
南京,昆明,1,111.0
南京,拉萨,0,0.0
南京,西安,1,113.0
南京,兰州,1,84.0
南京,西宁,0,0.0
南京,银川,0,0.0
南京,乌鲁木齐,1,67.0
杭州,北京,1,733.0
杭州,天津,1,851.0
杭州,石家庄,1,8.0
杭州,太原,1,1513.0
杭州,呼和浩特,0,104.0
杭州,沈阳,1,622.0
杭州,长春,1,242.0
杭州,哈尔滨,1,385.0
杭州,上海,1,406.0
杭州,南京,1,222.0
杭州,杭州,0,0.0
杭州,合肥,1,549.0
杭州,福州,1,392.0
杭州,南昌,1,766.0
杭州,济南,1,698.0
杭州,郑州,1,928.0
杭州,武汉,1,632.0
杭州,长沙,1,999.0
杭州,广州,1,877.0
杭州,南宁,1,363.0
杭州,海口,1,70.0
杭州,重庆,1,415.0
杭州,成都,1,344.0
杭州,贵阳,1,145.0
杭州,昆明,0,84.0
杭州,拉萨,0,16.0
杭州,西安,1,751.0
杭州,兰州,0,140.0
杭州,西宁,0,0.0
杭州,银川,1,139.0
杭州,乌鲁木齐,0,2.0
合肥,北京,1,82.0
合肥,天津,1,166.0
合肥,石家庄,0,0.0
合肥,太原,1,204.0
合肥,呼和浩特,0,0.0
合肥,沈阳,1,156.0
合肥,长春,1,171.0
合肥,哈尔滨,0,0.0
合肥,上海,1,39.0
合肥,南京,1,25.0
合肥,杭州,1,39.0
合肥,合肥,0,0.0
合肥,福州,1,64.0
合肥,南昌,1,148.0
合肥,济南,1,284.0
合肥,郑州,1,207.0
合肥,武汉,1,222.0
合肥,长沙,1,152.0
合肥,广州,1,161.0
合肥,南宁,1,111.0
合肥,海口,0,3.0
合肥,重庆,1,72.0
合肥,成都,1,64.0
合肥,贵阳,1,41.0
合肥,昆明,1,27.0
合肥,拉萨,0,0.0
合肥,西安,1,111.0
合肥,兰州,0,0.0
合肥,西宁,0,0.0
合肥,银川,0,0.0
合肥,乌鲁木齐,0,1.0
福州,北京,1,12.0
福州,天津,1,197.0
福州,石家庄,0,1.0
福州,太原,0,0.0
福州,呼和浩特,0,0.0
福州,沈阳,0,498.0
福州,长春,0,0.0
福州,哈尔滨,0,0.0
福州,上海,1,105.0
福州,南京,0,0.0
福州,杭州,1,357.0
福州,合肥,1,308.0
福州,福州,0,0.0
福州,南昌,1,230.0
福州,济南,0,0.0
福州,郑州,0,0.0
福州,武汉,1,417.0
福州,长沙,1,270.0
福州,广州,1,423.0
福州,南宁,0,0.0
福州,海口,0,0.0
福州,重庆,0,0.0
福州,成都,1,106.0
福州,贵阳,0,0.0
福州,昆明,0,0.0
福州,拉萨,0,0.0
福州,西安,0,1.0
福州,兰州,0,0.0
福州,西宁,0,0.0
福州,银川,0,0.0
福州,乌鲁木齐,0,0.0
南昌,北京,1,46.0
南昌,天津,1,126.0
南昌,石家庄,1,213.0
南昌,太原,1,106.0
南昌,呼和浩特,0,0.0
南昌,沈阳,1,67.0
南昌,长春,1,70.0
南昌,哈尔滨,0,0.0
南昌,上海,1,60.0
南昌,南京,1,30.0
南昌,杭州,1,62.0
南昌,合肥,1,99.0
南昌,福州,1,24.0
南昌,南昌,0,0.0
南昌,济南,1,131.0
南昌,郑州,1,92.0
南昌,武汉,1,160.0
南昌,长沙,1,101.0
南昌,广州,1,113.0
南昌,南宁,1,103.0
南昌,海口,0,1.0
南昌,重庆,1,73.0
南昌,成都,1,104.0
南昌,贵阳,1,37.0
南昌,昆明,1,37.0
南昌,拉萨,0,0.0
南昌,西安,1,72.0
南昌,兰州,0,0.0
南昌,西宁,0,0.0
南昌,银川,0,0.0
南昌,乌鲁木齐,0,1.0
济南,北京,1,78.0
济南,天津,1,52.0
济南,石家庄,1,108.0
济南,太原,1,256.0
济南,呼和浩特,0,18.0
济南,沈阳,1,154.0
济南,长春,1,94.0
济南,哈尔滨,1,102.0
济南,上海,1,38.0
济南,南京,1,22.0
济南,杭州,1,48.0
济南,合肥,1,114.0
济南,福州,0,0.0
济南,南昌,1,157.0
济南,济南,0,0.0
济南,郑州,1,160.0
济南,武汉,1,217.0
济南,长沙,1,141.0
济南,广州,1,218.0
济南,南宁,1,155.0
济南,海口,0,9.0
济南,重庆,1,66.0
济南,成都,1,71.0
济南,贵阳,1,27.0
济南,昆明,1,57.0
济南,拉萨,0,0.0
济南,西安,1,92.0
济南,兰州,0,12.0
济南,西宁,0,0.0
济南,银川,0,0.0
济南,乌鲁木齐,0,7.0
郑州,北京,1,42.0
郑州,天津,1,71.0
郑州,石家庄,1,60.0
郑州,太原,1,86.0
郑州,呼和浩特,1,28.0
郑州,沈阳,1,177.0
郑州,长春,1,35.0
郑州,哈尔滨,1,42.0
郑州,上海,1,46.0
郑州,南京,1,41.0
郑州,杭州,1,35.0
郑州,合肥,1,122.0
郑州,福州,0,13.0
郑州,南昌,1,84.0
郑州,济南,1,100.0
郑州,郑州,0,0.0
郑州,武汉,1,65.0
郑州,长沙,1,106.0
郑州,广州,1,157.0
郑州,南宁,1,48.0
郑州,海口,0,8.0
郑州,重庆,1,61.0
郑州,成都,1,72.0
郑州,贵阳,1,27.0
郑州,昆明,1,18.0
郑州,拉萨,0,0.0
郑州,西安,1,69.0
郑州,兰州,1,24.0
郑州,西宁,0,0.0
郑州,银川,1,15.0
郑州,乌鲁木齐,0,6.0
武汉,北京,1,74.0
武汉,天津,1,119.0
武汉,石家庄,1,80.0
武汉,太原,1,164.0
武汉,呼和浩特,0,0.0
武汉,沈阳,1,393.0
武汉,长春,0,0.0
武汉,哈尔滨,0,0.0
武汉,上海,1,108.0
武汉,南京,1,124.0
武汉,杭州,1,73.0
武汉,合肥,1,162.0
武汉,福州,1,74.0
武汉,南昌,1,170.0
武汉,济南,1,175.0
武汉,郑州,1,141.0
武汉,武汉,0,0.0
武汉,长沙,1,157.0
武汉,广州,1,172.0
武汉,南宁,1,71.0
武汉,海口,0,7.0
武汉,重庆,1,67.0
武汉,成都,1,53.0
武汉,贵阳,1,47.0
武汉,昆明,1,26.0
武汉,拉萨,0,0.0
武汉,西安,1,98.0
武汉,兰州,0,12.0
武汉,西宁,0,0.0
武汉,银川,0,0.0
武汉,乌鲁木齐,1,1.0
长沙,北京,1,118.0
长沙,天津,1,175.0
长沙,石家庄,1,429.0
长沙,太原,1,270.0
长沙,呼和浩特,1,10.0
长沙,沈阳,1,227.0
长沙,长春,1,227.0
长沙,哈尔滨,0,51.0
长沙,上海,1,175.0
长沙,南京,1,199.0
长沙,杭州,1,147.0
长沙,合肥,1,374.0
长沙,福州,1,136.0
长沙,南昌,1,365.0
长沙,济南,1,535.0
长沙,郑州,1,257.0
长沙,武汉,1,410.0
长沙,长沙,0,0.0
长沙,广州,1,541.0
长沙,南宁,1,320.0
长沙,海口,0,18.0
长沙,重庆,1,125.0
长沙,成都,1,127.0
长沙,贵阳,1,128.0
长沙,昆明,1,107.0
长沙,拉萨,0,0.0
长沙,西安,1,216.0
长沙,兰州,0,0.0
长沙,西宁,0,0.0
长沙,银川,0,1.0
长沙,乌鲁木齐,0,0.0
广州,北京,1,876.0
广州,天津,1,1191.0
广州,石家庄,1,2425.0
广州,太原,1,3579.0
广州,呼和浩特,1,289.0
广州,沈阳,1,2054.0
广州,长春,1,765.0
广州,哈尔滨,1,797.0
广州,上海,1,682.0
广州,南京,1,789.0
广州,杭州,1,781.0
广州,合肥,1,2114.0
广州,福州,1,402.0
广州,南昌,1,1538.0
广州,济南,1,2408.0
广州,郑州,1,2003.0
广州,武汉,1,1611.0
广州,长沙,1,1579.0
广州,广州,0,0.0
广州,南宁,1,1033.0
广州,海口,1,221.0
广州,重庆,1,732.0
广州,成都,1,858.0
广州,贵阳,1,458.0
广州,昆明,1,372.0
广州,拉萨,0,0.0
广州,西安,1,1058.0
广州,兰州,1,327.0
广州,西宁,0,0.0
广州,银川,0,281.0
广州,乌鲁木齐,1,72.0
南宁,北京,1,17.0
南宁,天津,1,34.0
南宁,石家庄,0,0.0
南宁,太原,1,51.0
南宁,呼和浩特,0,0.0
南宁,沈阳,1,62.0
南宁,长春,0,18.0
南宁,哈尔滨,0,0.0
南宁,上海,1,18.0
南宁,南京,1,11.0
南宁,杭州,1,45.0
南宁,合肥,1,70.0
南宁,福州,0,0.0
南宁,南昌,1,48.0
南宁,济南,1,50.0
南宁,郑州,1,93.0
南宁,武汉,1,44.0
南宁,长沙,1,41.0
南宁,广州,1,96.0
南宁,南宁,0,0.0
南宁,海口,0,0.0
南宁,重庆,1,28.0
南宁,成都,1,38.0
南宁,贵阳,1,10.0
南宁,昆明,1,17.0
南宁,拉萨,0,0.0
南宁,西安,1,22.0
南宁,兰州,0,0.0
南宁,西宁,0,0.0
南宁,银川,0,0.0
南宁,乌鲁木齐,0,0.0
海口,北京,0,0.0
海口,天津,0,0.0
海口,石家庄,0,0.0
海口,太原,0,0.0
海口,呼和浩特,0,0.0
海口,沈阳,0,0.0
海口,长春,0,0.0
海口,哈尔滨,0,1.0
海口,上海,0,0.0
海口,南京,0,0.0
海口,杭州,1,3.0
海口,合肥,0,0.0
海口,福州,0,0.0
海口,南昌,0,0.0
海口,济南,0,0.0
海口,郑州,0,0.0
海口,武汉,0,0.0
海口,长沙,0,0.0
海口,广州,1,22.0
海口,南宁,0,0.0
海口,海口,0,0.0
海口,重庆,0,0.0
海口,成都,0,0.0
海口,贵阳,0,0.0
海口,昆明,0,0.0
海口,拉萨,0,0.0
海口,西安,0,0.0
海口,兰州,0,0.0
海口,西宁,0,0.0
海口,银川,0,0.0
海口,乌鲁木齐,0,0.0
重庆,北京,1,15.0
重庆,天津,1,12.0
重庆,石家庄,1,65.0
重庆,太原,1,42.0
重庆,呼和浩特,0,0.0
重庆,沈阳,1,57.0
重庆,长春,0,0.0
重庆,哈尔滨,0,0.0
重庆,上海,1,27.0
重庆,南京,1,29.0
重庆,杭州,1,66.0
重庆,合肥,1,62.0
重庆,福州,0,0.0
重庆,南昌,1,25.0
重庆,济南,1,51.0
重庆,郑州,1,67.0
重庆,武汉,1,37.0
重庆,长沙,1,26.0
重庆,广州,1,69.0
重庆,南宁,1,15.0
重庆,海口,0,0.0
重庆,重庆,0,0.0
重庆,成都,1,54.0
重庆,贵阳,1,4.0
重庆,昆明,1,5.0
重庆,拉萨,0,2.0
重庆,西安,1,21.0
重庆,兰州,0,0.0
重庆,西宁,0,0.0
重庆,银川,0,0.0
重庆,乌鲁木齐,0,0.0
成都,北京,1,49.0
成都,天津,1,31.0
成都,石家庄,1,3.0
成都,太原,1,64.0
成都,呼和浩特,0,0.0
成都,沈阳,1,86.0
成都,长春,1,19.0
成都,哈尔滨,1,1.0
成都,上海,1,53.0
成都,南京,1,34.0
成都,杭州,1,86.0
成都,合肥,1,46.0
成都,福州,1,22.0
成都,南昌,1,67.0
成都,济南,1,175.0
成都,郑州,1,76.0
成都,武汉,1,68.0
成都,长沙,1,52.0
成都,广州,1,215.0
成都,南宁,1,42.0
成都,海口,0,4.0
成都,重庆,1,100.0
成都,成都,0,0.0
成都,贵阳,1,25.0
成都,昆明,1,22.0
成都,拉萨,0,1.0
成都,西安,1,58.0
成都,兰州,0,1.0
成都,西宁,0,0.0
成都,银川,0,2.0
成都,乌鲁木齐,0,0.0
贵阳,北京,1,2.0
贵阳,天津,0,0.0
贵阳,石家庄,0,0.0
贵阳,太原,0,0.0
贵阳,呼和浩特,0,0.0
贵阳,沈阳,0,0.0
贵阳,长春,0,0.0
贵阳,哈尔滨,0,0.0
贵阳,上海,1,6.0
贵阳,南京,0,0.0
贵阳,杭州,1,16.0
贵阳,合肥,1,21.0
贵阳,福州,0,0.0
贵阳,南昌,1,17.0
贵阳,济南,1,79.0
贵阳,郑州,1,47.0
贵阳,武汉,1,27.0
贵阳,长沙,1,53.0
贵阳,广州,1,44.0
贵阳,南宁,1,20.0
贵阳,海口,0,0.0
贵阳,重庆,1,2.0
贵阳,成都,1,19.0
贵阳,贵阳,0,0.0
贵阳,昆明,1,7.0
贵阳,拉萨,0,0.0
贵阳,西安,1,7.0
贵阳,兰州,0,0.0
贵阳,西宁,0,0.0
贵阳,银川,0,0.0
贵阳,乌鲁木齐,0,0.0
昆明,北京,1,11.0
昆明,天津,0,0.0
昆明,石家庄,0,0.0
昆明,太原,1,3.0
昆明,呼和浩特,0,0.0
昆明,沈阳,1,17.0
昆明,长春,0,0.0
昆明,哈尔滨,0,0.0
昆明,上海,1,9.0
昆明,南京,1,12.0
昆明,杭州,0,0.0
昆明,合肥,1,12.0
昆明,福州,0,0.0
昆明,南昌,1,39.0
昆明,济南,1,8.0
昆明,郑州,1,44.0
昆明,武汉,1,41.0
昆明,长沙,1,100.0
昆明,广州,1,111.0
昆明,南宁,1,17.0
昆明,海口,0,0.0
昆明,重庆,1,9.0
昆明,成都,1,15.0
昆明,贵阳,1,7.0
昆明,昆明,0,0.0
昆明,拉萨,0,0.0
昆明,西安,1,9.0
昆明,兰州,0,0.0
昆明,西宁,0,0.0
昆明,银川,0,0.0
昆明,乌鲁木齐,0,0.0
拉萨,北京,0,0.0
拉萨,天津,0,0.0
拉萨,石家庄,0,0.0
拉萨,太原,0,0.0
拉萨,呼和浩特,0,0.0
拉萨,沈阳,0,0.0
拉萨,长春,0,0.0
拉萨,哈尔滨,0,0.0
拉萨,上海,0,0.0
拉萨,南京,0,0.0
拉萨,杭州,0,0.0
拉萨,合肥,0,0.0
拉萨,福州,0,0.0
拉萨,南昌,0,0.0
拉萨,济南,0,0.0
拉萨,郑州,0,0.0
拉萨,武汉,0,0.0
拉萨,长沙,0,0.0
拉萨,广州,0,0.0
拉萨,南宁,0,0.0
拉萨,海口,0,0.0
拉萨,重庆,0,0.0
拉萨,成都,0,0.0
拉萨,贵阳,0,0.0
拉萨,昆明,0,0.0
拉萨,拉萨,0,0.0
拉萨,西安,0,0.0
拉萨,兰州,0,0.0
拉萨,西宁,0,0.0
拉萨,银川,0,0.0
拉萨,乌鲁木齐,0,0.0
西安,北京,1,73.0
西安,天津,1,74.0
西安,石家庄,1,140.0
西安,太原,1,70.0
西安,呼和浩特,0,0.0
西安,沈阳,1,141.0
西安,长春,0,0.0
西安,哈尔滨,0,0.0
西安,上海,1,56.0
西安,南京,1,91.0
西安,杭州,1,76.0
西安,合肥,1,84.0
西安,福州,0,0.0
西安,南昌,1,76.0
西安,济南,1,213.0
西安,郑州,1,181.0
西安,武汉,1,171.0
西安,长沙,1,73.0
西安,广州,1,142.0
西安,南宁,1,52.0
西安,海口,0,0.0
西安,重庆,1,34.0
西安,成都,1,38.0
西安,贵阳,1,16.0
西安,昆明,1,16.0
西安,拉萨,0,0.0
西安,西安,0,0.0
西安,兰州,1,184.0
西安,西宁,1,60.0
西安,银川,1,368.0
西安,乌鲁木齐,1,73.0
兰州,北京,1,1.0
兰州,天津,0,0.0
兰州,石家庄,0,0.0
兰州,太原,0,0.0
兰州,呼和浩特,0,0.0
兰州,沈阳,0,0.0
兰州,长春,0,0.0
兰州,哈尔滨,0,0.0
兰州,上海,0,0.0
兰州,南京,1,3.0
兰州,杭州,0,0.0
兰州,合肥,0,0.0
兰州,福州,0,0.0
兰州,南昌,0,0.0
兰州,济南,0,0.0
兰州,郑州,1,5.0
兰州,武汉,0,0.0
兰州,长沙,0,3.0
兰州,广州,1,1.0
兰州,南宁,0,0.0
兰州,海口,0,0.0
兰州,重庆,0,0.0
兰州,成都,0,0.0
兰州,贵阳,0,0.0
兰州,昆明,0,0.0
兰州,拉萨,0,10.0
兰州,西安,1,12.0
兰州,兰州,0,0.0
兰州,西宁,1,52.0
兰州,银川,0,0.0
兰州,乌鲁木齐,0,0.0
西宁,北京,0,0.0
西宁,天津,0,0.0
西宁,石家庄,0,0.0
西宁,太原,0,0.0
西宁,呼和浩特,0,0.0
西宁,沈阳,0,0.0
西宁,长春,0,0.0
西宁,哈尔滨,0,0.0
西宁,上海,0,0.0
西宁,南京,0,0.0
西宁,杭州,0,0.0
西宁,合肥,0,0.0
西宁,福州,0,0.0
西宁,南昌,0,0.0
西宁,济南,0,0.0
西宁,郑州,0,0.0
西宁,武汉,0,0.0
西宁,长沙,0,0.0
西宁,广州,0,0.0
西宁,南宁,0,0.0
西宁,海口,0,0.0
西宁,重庆,0,0.0
西宁,成都,0,0.0
西宁,贵阳,0,0.0
西宁,昆明,0,0.0
西宁,拉萨,0,0.0
西宁,西安,1,63.0
西宁,兰州,1,10.0
西宁,西宁,0,0.0
西宁,银川,0,0.0
西宁,乌鲁木齐,0,0.0
银川,北京,1,3.0
银川,天津,0,0.0
银川,石家庄,0,0.0
银川,太原,0,0.0
银川,呼和浩特,0,0.0
银川,沈阳,0,0.0
银川,长春,0,0.0
银川,哈尔滨,0,0.0
银川,上海,0,0.0
银川,南京,0,21.0
银川,杭州,1,9.0
银川,合肥,0,0.0
银川,福州,0,0.0
银川,南昌,0,0.0
银川,济南,0,0.0
银川,郑州,1,84.0
银川,武汉,0,0.0
银川,长沙,0,0.0
银川,广州,0,0.0
银川,南宁,0,0.0
银川,海口,0,0.0
银川,重庆,0,0.0
银川,成都,0,0.0
银川,贵阳,0,0.0
银川,昆明,0,0.0
银川,拉萨,0,0.0
银川,西安,1,42.0
银川,兰州,0,0.0
银川,西宁,0,0.0
银川,银川,0,0.0
银川,乌鲁木齐,0,0.0
乌鲁木齐,北京,1,3.0
乌鲁木齐,天津,0,0.0
乌鲁木齐,石家庄,0,0.0
乌鲁木齐,太原,0,0.0
乌鲁木齐,呼和浩特,0,0.0
乌鲁木齐,沈阳,0,0.0
乌鲁木齐,长春,0,0.0
乌鲁木齐,哈尔滨,0,0.0
乌鲁木齐,上海,1,5.0
乌鲁木齐,南京,1,25.0
乌鲁木齐,杭州,0,0.0
乌鲁木齐,合肥,0,0.0
乌鲁木齐,福州,0,0.0
乌鲁木齐,南昌,0,0.0
乌鲁木齐,济南,0,0.0
乌鲁木齐,郑州,0,0.0
乌鲁木齐,武汉,1,3.0
乌鲁木齐,长沙,0,0.0
乌鲁木齐,广州,1,4.0
乌鲁木齐,南宁,0,0.0
乌鲁木齐,海口,0,0.0
乌鲁木齐,重庆,0,0.0
乌鲁木齐,成都,0,1.0
乌鲁木齐,贵阳,0,0.0
乌鲁木齐,昆明,0,0.0
乌鲁木齐,拉萨,0,0.0
乌鲁木齐,西安,1,104.0
乌鲁木齐,兰州,0,0.0
乌鲁木齐,西宁,0,0.0
乌鲁木齐,银川,0,0.0
乌鲁木齐,乌鲁木齐,0,0.0
